# ID,label,height,hw_ratio,height_var,root_density,cmass_density,2d_density,2d_hull_area,shape_index,compactness,linearity,sphericity
  71.00000,   0.00000,   2.76000,   0.41080,   0.17890,   0.02892,   0.01365,  27.58066,  45.14034,   1.65674,   0.68018,   0.69085,   0.02858
  72.00000,   0.00000,   4.23000,   0.43693,   0.34744,   0.00533,   0.00000,  35.99811,  93.72715,   2.42591,   0.53944,   0.22414,   0.05073
  73.00000,   0.00000,  10.21000,   0.48943,   4.40855,   0.00211,   0.00000,  38.10988, 435.18896,   5.05205,   0.66103,   0.12016,   0.04364
  74.00000,   0.00000,   7.94000,   0.45519,   2.27305,   0.00568,   0.00000,  38.79819, 304.26672,   4.45367,   0.79072,   0.19196,   0.05776
  75.00000,   0.00000,   4.37000,   0.41326,   0.45783,   0.01562,   0.00256,  34.92329, 111.81649,   2.67635,   0.60737,   0.43808,   0.10821
  76.00000,   0.00000,  10.85000,   0.56080,   4.38812,   0.00824,   0.00000,  38.23469, 374.31976,   5.02203,   0.77723,   0.47739,   0.12817
  77.00000,   0.00000,   7.14000,   0.58743,   0.89153,   0.00241,   0.00000,  39.25880, 147.73758,   3.14098,   0.70835,   0.61801,   0.15405
  78.00000,   0.00000,   3.83000,   0.53764,   0.46148,   0.01212,   0.00000,  37.40028,  50.74828,   1.83750,   0.72424,   0.72191,   0.05446
  79.00000,   0.00000,   1.84000,   0.19346,   0.20880,   0.31004,   0.00000,  37.97228,  90.46072,   2.37905,   0.49866,   0.16751,   0.06673
  80.00000,   0.00000,   5.89000,   0.44065,   0.71390,   0.01022,   0.00000,  38.33364, 178.66815,   3.54981,   0.62179,   0.43870,   0.30604
  81.00000,   0.00000,   5.53000,   0.50054,   1.43139,   0.01333,   0.00000,  22.73464, 122.06044,   2.84516,   0.59821,   0.25338,   0.07217
  82.00000,   0.00000,   7.61000,   0.52391,   1.45001,   0.00433,   0.00000,  33.90729, 210.98706,   3.61164,   0.70986,   0.43081,   0.39906
  83.00000,   0.00000,   8.25000,   0.55124,   2.90074,   0.00620,   0.00000,  39.63578, 223.98956,   3.88675,   0.64066,   0.13145,   0.36924
  84.00000,   0.00000,   7.52000,   0.48333,   3.39377,   0.00475,   0.00000,  38.27822, 242.06973,   4.25963,   0.63673,   0.43416,   0.12680
  85.00000,   0.00000,   5.83000,   0.48421,   0.58956,   0.00447,   0.00000,  35.48319, 144.97005,   3.07678,   0.48669,   0.46844,   0.17672
  86.00000,   0.00000,   7.28000,   0.47784,   3.19256,   0.00228,   0.00000,  39.71782, 232.11243,   4.17067,   0.55660,   0.49685,   0.10787
  87.00000,   0.00000,   7.55000,   0.57333,   1.30437,   0.00345,   0.00000,  38.39418, 173.41170,   3.42084,   0.60231,   0.23723,   0.05152
  88.00000,   0.00000,   5.55000,   0.31359,   0.58930,   0.00531,   0.00000,  36.06252, 313.23380,   4.58247,   0.60226,   0.24837,   0.41458
  89.00000,   0.00000,   5.18000,   0.54792,   0.39715,   0.01354,   0.00206,  38.00750,  89.37711,   2.49257,   0.56536,   0.29175,   0.29953
  90.00000,   0.00000,   3.79000,   0.28128,   0.55910,   0.00203,   0.00000,  37.89991, 181.55719,   3.49830,   0.40418,   0.20524,   0.04053
  91.00000,   0.00000,   7.05000,   0.55011,   1.22182,   0.00819,   0.00000,  40.13010, 164.24080,   3.27532,   0.79453,   0.12496,   0.60458
  92.00000,   0.00000,   7.38000,   0.43515,   2.32295,   0.00308,   0.00000,  37.24250, 287.62842,   4.29698,   0.65539,   0.38528,   0.22495
  93.00000,   0.00000,   5.45000,   0.51899,   0.71117,   0.00162,   0.00460,  33.51648, 110.27412,   2.63285,   0.37462,   0.59639,   0.00721
  94.00000,   0.00000,   3.30000,   0.44728,   0.26256,   0.01410,   0.00000,  19.54668,  54.43378,   1.81233,   0.67450,   0.51645,   0.10397
  95.00000,   0.00000,   4.34000,   0.28131,   0.29060,   0.00207,   0.00310,  32.51781, 238.02341,   3.92134,   0.67506,   0.08497,   0.17208
  96.00000,   0.00000,   8.22000,   0.54951,   2.94242,   0.00353,   0.00000,  38.00912, 223.76207,   3.95400,   0.64373,   0.19356,   0.07052
  97.00000,   0.00000,   7.08000,   0.55326,   2.64496,   0.00071,   0.00000,  34.24548, 163.75883,   3.23781,   0.61435,   0.21560,   0.08119
  98.00000,   0.00000,   7.77000,   0.36602,   3.01308,   0.00103,   0.00000,  38.90509, 450.63507,   5.35444,   0.65317,   0.22992,   0.07153
  99.00000,   0.00000,   8.36000,   0.65514,   0.94862,   0.00362,   0.00000,  40.66706, 162.83449,   3.24592,   0.63153,   0.83059,   0.08672
 100.00000,   1.00000,   1.25000,   0.41983,   0.05765,   0.06667,   0.06667,  16.92059,   8.86494,   0.71804,   0.51052,   0.69206,   0.02527
 101.00000,   1.00000,   1.51000,   0.47089,   0.07168,   0.02812,   0.05000,  31.11967,  10.28288,   0.78036,   0.49549,   0.43581,   0.03631
 102.00000,   1.00000,   1.69000,   0.50558,   0.14066,   0.03990,   0.02494,  35.88857,  11.17347,   0.81729,   0.61372,   0.38178,   0.07423
 103.00000,   1.00000,   1.25000,   0.41097,   0.09407,   0.24051,   0.05063,  34.15788,   9.25116,   0.75408,   0.59150,   0.32285,   0.02865
 104.00000,   1.00000,   1.38000,   0.38987,   0.10490,   0.22189,   0.01479,  26.97661,  12.52937,   0.80291,   0.55857,   0.15654,   0.24242
 105.00000,   1.00000,   0.96000,   0.31833,   0.04308,   0.37419,   0.05161,  34.08574,   9.09471,   0.74928,   0.55990,   0.20666,   0.04242
 106.00000,   1.00000,   1.15000,   0.40182,   0.08379,   0.20625,   0.10625,  19.53359,   8.19102,   0.64723,   0.39719,   0.70844,   0.02073
 107.00000,   1.00000,   1.09000,   0.37627,   0.04169,   0.10714,   0.06548,  40.04005,   8.39160,   0.72759,   0.58129,   0.37018,   0.05010
 108.00000,   1.00000,   1.47000,   0.58605,   0.10236,   0.07330,   0.10471,  30.35800,   6.29159,   0.61850,   0.49055,   0.57513,   0.03082
 109.00000,   1.00000,   0.99000,   0.36961,   0.05610,   0.41418,   0.08955,  37.35617,   7.17418,   0.65813,   0.61794,   0.14414,   0.03920
 110.00000,   1.00000,   1.69000,   0.43789,   0.10910,   0.16992,   0.00000,  34.37410,  14.89493,   0.91949,   0.55233,   0.59337,   0.13581
 111.00000,   1.00000,   1.12000,   0.34847,   0.04611,   0.10840,   0.05962,  35.72105,  10.33004,   0.78798,   0.58361,   0.37367,   0.03316
 112.00000,   1.00000,   1.56000,   0.54135,   0.10485,   0.02381,   0.05952,  20.23093,   8.30412,   0.67414,   0.43092,   0.71602,   0.04479
 113.00000,   1.00000,   1.00000,   0.32234,   0.06777,   0.36860,   0.07850,  30.44369,   9.62433,   0.77411,   0.59187,   0.48948,   0.01516
 114.00000,   1.00000,   1.33000,   0.35686,   0.08361,   0.09398,   0.03855,  29.87739,  13.89010,   0.91070,   0.65535,   0.35890,   0.11673
 115.00000,   1.00000,   1.38000,   0.48267,   0.08597,   0.09507,   0.06338,  34.74186,   8.17458,   0.68136,   0.57753,   0.53582,   0.04320
 116.00000,   1.00000,   1.43000,   0.60413,   0.07664,   0.49174,   0.05372,  43.19196,   5.60289,   0.59631,   0.45446,   0.42900,   0.18990
 117.00000,   1.00000,   1.09000,   0.37111,   0.05220,   0.19595,   0.05068,  34.31253,   8.62659,   0.70625,   0.55351,   0.08752,   0.03225
 118.00000,   1.00000,   1.27000,   0.49382,   0.10202,   0.15607,   0.07514,  26.15587,   6.61419,   0.61564,   0.55881,   0.68526,   0.03163
 119.00000,   1.00000,   1.03000,   0.36003,   0.04264,   0.15823,   0.06962,  19.30419,   8.18475,   0.67432,   0.46737,   0.67248,   0.02397
 120.00000,   1.00000,   1.10000,   0.41191,   0.10271,   0.42308,   0.06410,  21.87448,   7.13160,   0.67450,   0.39319,   0.63055,   0.03586
 121.00000,   1.00000,   1.26000,   0.45670,   0.05460,   0.04403,   0.05031,  20.88908,   7.61163,   0.64956,   0.47228,   0.62845,   0.03332
 122.00000,   1.00000,   1.69000,   0.57650,   0.12390,   0.04217,   0.06024,  19.31687,   8.59353,   0.74334,   0.50760,   0.55626,   0.05951
 123.00000,   1.00000,   1.24000,   0.41986,   0.05895,   0.09732,   0.06040,  34.16581,   8.72217,   0.71796,   0.58807,   0.75381,   0.02146
 124.00000,   1.00000,   1.59000,   0.44312,   0.11924,   0.33267,   0.00601,  38.75732,  12.87499,   0.85449,   0.60337,   0.47284,   0.18064
 125.00000,   1.00000,   1.43000,   0.51210,   0.08409,   0.04851,   0.08209,  34.36902,   7.79772,   0.69409,   0.60187,   0.57086,   0.02676
