# ID,label,height,hw_ratio,2d_density,sphericity
 216.00000,   2.00000,   1.77000,   0.06807,   1.99793,   0.13969
 217.00000,   2.00000,   2.76000,   0.27155,   3.65919,   0.10389
 218.00000,   2.00000,   1.40000,   0.38749,  19.15126,   0.00298
 219.00000,   2.00000,   1.38000,   0.68966,  38.96156,   0.02627
 220.00000,   2.00000,   2.74000,   0.08727,   1.79874,   0.00576
 221.00000,   2.00000,   1.42000,   0.27315,  14.31955,   0.03353
 222.00000,   2.00000,   1.51000,   0.46609,  26.20051,   0.01017
 223.00000,   2.00000,   1.32000,   0.30536,   7.86681,   0.00550
 224.00000,   2.00000,   3.33000,   0.13084,   2.25229,   0.00724
 225.00000,   2.00000,   1.49000,   0.30746,  10.90046,   0.01204
 226.00000,   2.00000,   2.56000,   0.09338,   2.07011,   0.01519
 227.00000,   2.00000,   1.85000,   0.19573,   4.79110,   0.02952
 228.00000,   2.00000,   2.50000,   0.45348,   9.77218,   0.01138
 229.00000,   2.00000,   2.30000,   0.19501,   2.83232,   0.10501
 230.00000,   2.00000,   2.08000,   0.49849,  23.72101,   0.01276
 231.00000,   2.00000,   1.42000,   0.55763,  18.35108,   0.07902
 232.00000,   2.00000,   1.97000,   0.16757,   4.86957,   0.00884
 233.00000,   2.00000,   2.48000,   0.20583,   3.41670,   0.00720
 234.00000,   2.00000,   2.64000,   0.09510,   2.56151,   0.12276
 235.00000,   2.00000,   2.90000,   0.27560,   4.40730,   0.03807
 236.00000,   2.00000,   2.46000,   0.63845,  21.75631,   0.00974
 237.00000,   2.00000,   1.85000,   0.51484,   8.59669,   0.04635
 238.00000,   2.00000,   1.47000,   0.75022,  33.59986,   0.00787
 239.00000,   2.00000,   1.46000,   0.26477,   9.10983,   0.00858
 240.00000,   2.00000,   2.15000,   0.29229,  10.05449,   0.01114
 241.00000,   2.00000,   2.21000,   0.41610,   8.40174,   0.02326
 242.00000,   2.00000,   1.78000,   0.55535,  14.40631,   0.00841
 243.00000,   2.00000,   1.44000,   0.75361,  30.67522,   0.00975
 244.00000,   2.00000,   2.48000,   0.46811,  23.40767,   0.00805
 245.00000,   2.00000,   2.79000,   0.14195,   3.06478,   0.02101
 246.00000,   2.00000,   2.95000,   0.15770,   3.87494,   0.09836
 247.00000,   2.00000,   3.33000,   0.06232,   1.62046,   0.00950
 248.00000,   2.00000,   3.48000,   0.08878,   1.14479,   0.13367
 249.00000,   2.00000,   2.16000,   0.29997,  11.78401,   0.03146
 250.00000,   2.00000,   0.87000,   0.09816,   3.01674,   0.00104
 251.00000,   2.00000,   2.81000,   0.11163,   1.73752,   0.06065
 252.00000,   2.00000,   3.13000,   0.08988,   1.55857,   0.00766
 253.00000,   2.00000,   2.51000,   0.69461,  25.34944,   0.05277
 254.00000,   2.00000,   1.78000,   0.65525,  24.66279,   0.01162
 255.00000,   2.00000,   1.21000,   0.36987,  19.90243,   0.01345
 256.00000,   2.00000,   1.69000,   0.14001,   4.35823,   0.00595
 257.00000,   2.00000,   2.66000,   0.11764,   2.18853,   0.07000
 258.00000,   2.00000,   2.08000,   0.53939,  40.68566,   0.01385
 259.00000,   2.00000,   1.85000,   0.57169,  25.87904,   0.01487
 260.00000,   2.00000,   1.54000,   0.20562,   9.73353,   0.01717
 261.00000,   2.00000,   2.61000,   0.09354,   2.22231,   0.23496
 262.00000,   2.00000,   2.55000,   0.46794,   8.75519,   0.09226
 263.00000,   2.00000,   1.72000,   0.52735,  17.29631,   0.01480
 264.00000,   2.00000,   2.25000,   0.47441,  16.76068,   0.00770
 265.00000,   2.00000,   1.81000,   0.09955,   3.58145,   0.00185
 266.00000,   2.00000,   2.32000,   0.09281,   2.88885,   0.00730
 267.00000,   2.00000,   2.77000,   0.28816,   5.30271,   0.03170
 268.00000,   2.00000,   1.47000,   0.62863,  32.18614,   0.01130
 269.00000,   2.00000,   2.49000,   0.80207,  20.85575,   0.16904
 270.00000,   2.00000,   2.09000,   0.30838,   7.72882,   0.00735
 271.00000,   2.00000,   1.54000,   0.37789,  22.58011,   0.01892
 272.00000,   2.00000,   1.42000,   0.36030,  13.58410,   0.03071
 273.00000,   2.00000,   2.51000,   0.24881,   5.56158,   0.00240
 274.00000,   2.00000,   1.50000,   0.50183,  19.69888,   0.00165
 275.00000,   2.00000,   2.90000,   0.24246,   5.06092,   0.01624
 276.00000,   2.00000,   1.40000,   0.29623,  11.64065,   0.03805
 277.00000,   2.00000,   2.64000,   0.59252,  18.38606,   0.01367
 278.00000,   2.00000,   3.08000,   0.32999,   5.69344,   0.00329
 279.00000,   2.00000,   2.15000,   0.20846,   2.91422,   0.00478
 280.00000,   2.00000,   1.21000,   0.20769,   8.07293,   0.04478
 281.00000,   2.00000,   3.24000,   0.60393,  18.58847,   0.00582
 282.00000,   2.00000,   1.57000,   0.25597,   6.88486,   0.03067
 283.00000,   2.00000,   1.65000,   0.51742,  23.01124,   0.01165
 284.00000,   2.00000,   2.58000,   0.14717,   2.95468,   0.01108
 285.00000,   2.00000,   2.83000,   0.14102,   1.66608,   0.03324
 286.00000,   2.00000,   4.18000,   0.13752,   1.95365,   0.22183
 287.00000,   2.00000,   2.11000,   0.58912,  11.69334,   0.10432
 288.00000,   2.00000,   3.81000,   0.11667,   2.17729,   0.00890
 289.00000,   2.00000,   2.86000,   0.06655,   1.76164,   0.01021
 290.00000,   2.00000,   1.59000,   0.27120,  16.49548,   0.11279
 291.00000,   2.00000,   1.94000,   0.39677,  38.48285,   0.01689
 292.00000,   2.00000,   1.45000,   0.72119,  40.07532,   0.00949
 293.00000,   2.00000,   1.49000,   0.26329,   7.65022,   0.00301
 294.00000,   2.00000,   1.81000,   0.20066,   5.44443,   0.08187
 295.00000,   2.00000,   2.62000,   0.22879,   5.47524,   0.00074
 296.00000,   2.00000,   2.56000,   0.42040,  15.61453,   0.01461
 297.00000,   2.00000,   2.48000,   0.62030,  22.89748,   0.00686
 298.00000,   2.00000,   1.42000,   0.26226,  11.25603,   0.02660
